bodyId,in_degree,Q_value
1542024630,335.0,0.1676275889136014
328373131,296.0,0.21603508050476042
5901213440,493.0,0.20674206063196227
550081497,764.0,0.15195379353830363
517086196,417.0,0.19081104508738592
1008292492,285.0,0.2456569592907016
792368888,550.0,0.14103526779525635
5813054857,331.0,0.17354510796946548
5813056054,398.0,0.17521353979757553
1006967204,435.0,0.216040392294407
1628523730,706.0,0.2135582956474776
1535086505,318.0,0.10673386434472343
517506265,405.0,0.21053878025677286
1702323386,295.0,-0.00586738963992625
361722354,694.0,0.1889129415859339
1503733177,498.0,0.2612753055572759
1435791739,731.0,0.2361944651240784
5813068707,418.0,0.20286170538230705
5813057274,424.0,0.24370298960006823
5813039148,790.0,0.2640117446986897
268731005,289.0,0.18454141507304592
1671292719,816.0,-7.248424867053872e-05
5813077544,318.0,0.2176920160177528
1038070642,294.0,0.2289897180692921
5812990958,283.0,0.12630142207329167
758419409,292.0,0.19525785467081236
5813057579,1021.0,0.23291886735019948
5813021574,287.0,0.244085096625267
1701947337,532.0,-0.007904852341547077
425790257,2666.0,0.2575220745500617
5813022424,1515.0,0.2280959384962636
890671753,290.0,0.23185180166576425
423101189,1180.0,0.21493044410803647
550068041,331.0,0.17934878718622124
948709216,394.0,0.19894615014890785
1013982515,688.0,0.19535718578241307
5813039309,370.0,-0.009838519466566062
5813026589,549.0,0.19380711750856222
1192848260,417.0,0.2117917752723201
1140245595,448.0,0.1789974342313615
1070950293,415.0,0.2625625058463089
859372751,320.0,0.19458084874034023
1016835041,1256.0,0.12071817309790174
5813021535,282.0,0.2530893387349951
1352684733,509.0,0.21974908403012253
1196854070,1413.0,0.18651984796857235
5813068559,346.0,0.1878741871087362
422725634,979.0,0.16257066652106172
330268940,871.0,0.23051045922257848
1627030775,364.0,0.2697127727842747
5813068729,910.0,0.11976917770869482
487925037,670.0,0.08592668128958018
1138587910,297.0,0.22081421862731998
5813033279,355.0,0.26304211421252405
1436629378,387.0,0.18018406434265405
1448575109,290.0,0.21650840918807043
1639886198,281.0,-0.022962836396289363
1977579449,317.0,-0.013076053814845263
5813061260,390.0,0.2928181196077832
1449955631,332.0,0.21506778196657053
1040004619,346.0,0.19563695581473836
421946059,290.0,0.2535837090819294
297230760,438.0,0.21423695407825522
483712161,434.0,0.2300404102704231
298250090,289.0,0.1769240166364796
361040812,504.0,0.17506392061887677
1809592670,281.0,0.21629258094379158
448342846,478.0,0.2583713096847728
823913632,319.0,0.19211090530914654
5813023322,774.0,0.23628275971240786
673776769,368.0,0.19071688139394408
674882250,538.0,0.16021102423767222
5813019833,292.0,0.1421958878287807
759810119,478.0,0.030939687270137753
860896571,567.0,0.1960106412044313
5813068769,321.0,0.2057346937232706
330640044,426.0,0.18870452448833347
360591860,329.0,0.21311722676745237
5813069064,327.0,-0.027133655797681996
611015907,329.0,0.1726867204372413
643398197,282.0,0.1913799717422596
988567837,291.0,0.22632792262393311
1888658233,327.0,-0.0843641716896062
297580589,422.0,0.22662008837526554
5813068840,365.0,0.14520458623067425
5813022629,378.0,0.2059239758952636
634962055,300.0,0.20843221495680644
5813080838,303.0,0.21377466141100684
1048215779,1248.0,0.09408107924081609
550081666,308.0,0.15820398378409806
5813022896,866.0,0.11283536086468554
5813070019,341.0,0.1282589050389981
5813049168,364.0,-0.06656277713598918
1570343631,328.0,0.19912372397664035
1284675398,346.0,0.19467194500078916
1817712927,399.0,0.1811396113517339
1434949542,289.0,0.21702095380536898
330678844,465.0,0.17297380433477855
612371421,1143.0,0.17701060194074741
447228814,307.0,0.16301077039581086
1234386037,934.0,0.1281192995806164
5813024035,334.0,0.25790941501778514
925008763,470.0,0.18879448780237484
517514142,483.0,0.18442081023625623
1139909038,444.0,0.19444337179572785
1480525262,358.0,0.18665916920813058
702506641,506.0,0.20714336766715918
5813054726,560.0,-0.007589437343570416
953414780,333.0,0.19944787855566637
576574889,283.0,0.16749278912229135
1321564092,1046.0,0.19291821283359462
612738462,602.0,0.11383200662704687
479935033,288.0,0.2129708375282038
298957166,484.0,0.20912429421660625
1075827302,286.0,0.14736452350033877
5813125985,287.0,0.1956536914435699
985813153,862.0,0.17748093761119646
5813055949,402.0,0.19244314494107714
518930199,1147.0,0.26505309831750884
1670287030,1352.0,0.00315175743081159
636944318,334.0,0.17229612618289816
5813022234,801.0,0.12990553478243394
362715189,328.0,0.23010194633643688
5813061538,386.0,0.19995981699383314
632544268,292.0,0.2139516880795533
328935472,402.0,0.1830773510306061
1006984280,670.0,0.2596033848668983
1670627928,473.0,-0.021973464518571257
5813017315,361.0,0.17278249735633125
1757612027,304.0,0.2135453930379383
1078693835,1172.0,0.06948214643193136
2060448332,385.0,0.28138570834942356
769263962,369.0,0.20225552922799298
703900244,316.0,0.1659417710288083
